word,cat_lev1,cat_lev2,cat_lev3,ndf
toiletries,business,property,facilities,0.002827611931
heater,business,property,facilities,0.002586964107
pillows,business,property,facilities,0.00251476976
blankets,business,property,facilities,0.002683223237
shampoo,business,property,facilities,0.002526802151
refrigerator,business,property,facilities,0.002177862807
clean,business,property,interiors,0.009998917085
comfortable,business,property,interiors,0.009998917085
room,business,property,interiors,0.009998917085
bed,business,property,interiors,0.00995078752
kitchen,business,property,interiors,0.009974852302
spacious,business,property,interiors,0.009974852302
small,business,property,interiors,0.009986884694
cozy,business,property,interiors,0.009938755129
bathroom,business,property,interiors,0.00995078752
equipped,business,property,interiors,0.009782334043
exactly,business,property,interiors,0.009878593173
large,business,property,interiors,0.009565751002
described,business,property,interiors,0.00974623687
cute,business,property,interiors,0.009361200351
shower,business,property,interiors,0.009168682092
living,business,property,interiors,0.009132584919
bedroom,business,property,interiors,0.009120552527
pictures,business,property,interiors,0.009084455354
beds,business,property,interiors,0.008771613183
comfy,business,property,interiors,0.00884380753
decorated,business,property,interiors,0.008916001877
photos,business,property,interiors,0.008603159706
modern,business,property,interiors,0.008326414708
rooms,business,property,interiors,0.008290317535
bright,business,property,interiors,0.008218123188
cosy,business,property,interiors,0.007760892322
furnished,business,property,interiors,0.007688697975
functional,business,property,interiors,0.006690009506
size,business,property,interiors,0.006702041897
bedrooms,business,property,interiors,0.00593196886
decor,business,property,interiors,0.005739450601
tidy,business,property,interiors,0.006004163207
bath,business,property,interiors,0.005137831041
bathrooms,business,property,interiors,0.004572308655
neat,business,property,interiors,0.004800924088
furniture,business,property,interiors,0.004295563657
pictured,business,property,interiors,0.004259466484
toilet,business,property,interiors,0.004091013007
sofa,business,property,interiors,0.004066948225
spotless,business,property,interiors,0.003970689095
picture,business,property,interiors,0.002719320411
showers,business,property,interiors,0.001937214983
sized,business,property,interiors,0.001877053027
breakfast,social,social_interaction,meal,0.009698107305
delicious,social,social_interaction,meal,0.007303661457
fresh,social,social_interaction,meal,0.007171305153
dinner,social,social_interaction,meal,0.006172616684
meals,social,social_interaction,meal,0.005173928215
together,social,social_interaction,meal,0.004596373437
breakfasts,social,social_interaction,meal,0.002683223237
cooked,social,social_interaction,meal,0.002635093672
her,social,social_interaction,people,0.009998917085
she,social,social_interaction,people,0.009986884694
he,social,social_interaction,people,0.009962819911
his,social,social_interaction,people,0.009902657955
they,social,social_interaction,people,0.009878593173
family,social,social_interaction,people,0.009914690346
their,social,social_interaction,people,0.009662010131
friends,social,social_interaction,people,0.009192746875
them,social,social_interaction,people,0.008398609056
husband,social,social_interaction,people,0.007905281016
friend,social,social_interaction,people,0.007664633193
him,social,social_interaction,people,0.007183337545
wife,social,social_interaction,people,0.006052292772
daughter,social,social_interaction,people,0.005065636694
son,social,social_interaction,people,0.004933280391
boyfriend,social,social_interaction,people,0.004548243873
girlfriend,social,social_interaction,people,0.003657846924
company,social,social_interaction,people,0.003465328665
mother,social,social_interaction,people,0.003152486494
mom,social,social_interaction,people,0.002430543022
herself,social,social_interaction,people,0.002647126063
himself,social,social_interaction,people,0.002057538895
hers,social,social_interaction,people,0.0003850365183
shes,social,social_interaction,people,3.61E-05
friendly,social,social_interaction,personality_host,0.009998917085
